Study name,Comparison,Outcome,Time point,Std diff in means                                                                          ,Group-A Sample size ,Group-B Sample size ,Effect direction,Hedges's g,Std Err,treated,age,dose,random/nonr,learning status,outcome test ,pretest pattern control group,type of training,sample age control group,sample age training group,Participants,training dose,program,gray,follow up test,design
"Borella,  et al. 2014 comp 1",comp 1 young,crit,posttest,1.8600,20,20,1,1.8230,0.3710,untreated,older adults,small,r,u,dot matrix,Blank,complex span,69.55,69.9,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella,  et al. 2014 comp 1",comp 1 young,ncattell,follow up,-0.0700,20,20,1,-0.0686,0.3100,untreated,older adults,small,r,u,Cattell ,Blank,complex span,69.55,69.9,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella,  et al. 2014 comp 1",comp 1 young,ncattell,posttest,0.3000,20,20,1,0.2940,0.3117,untreated,older adults,small,r,u,Cattell ,Blank,complex span,69.55,69.9,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella,  et al. 2014 comp 1",comp 1 young,verbal working memory,follow up,2.0500,20,20,1,2.0093,0.3828,untreated,older adults,small,r,u,CWMS,Blank,complex span,69.55,69.9,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella,  et al. 2014 comp 1",comp 1 young,verbal working memory,posttest,1.9800,20,20,1,1.9407,0.3783,untreated,older adults,small,r,u,CWMS,Blank,complex span,69.55,69.9,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella,  et al. 2014 comp 1",comp 1 young,visual working memory,follow up,0.5645,20,20,1,0.5533,0.3161,untreated,older adults,small,r,u,backward Corsi span ,Blank,complex span,69.55,69.9,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella,  et al. 2014 comp 1",comp 1 young,visual working memory,posttest,1.6229,20,20,1,1.5907,0.3573,untreated,older adults,small,r,u,backward Corsi span ,Blank,complex span,69.55,69.9,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella, et al. 2014 comp 2",comp 2 older,crit,follow up,0.9800,20,20,1,0.9605,0.3280,untreated,older adults,small,r,u,dot matrix,Blank,complex span,79.7,79.6,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella, et al. 2014 comp 2",comp 2 older,crit,posttest,1.3800,20,20,1,1.3526,0.3449,untreated,older adults,small,r,u,dot matrix,Blank,complex span,79.7,79.6,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella, et al. 2014 comp 2",comp 2 older,ncattell,follow up,-0.0900,20,20,1,-0.0882,0.3101,untreated,older adults,small,r,u,Cattell ,Blank,complex span,79.7,79.6,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella, et al. 2014 comp 2",comp 2 older,ncattell,posttest,0.0700,20,20,1,0.0686,0.3100,untreated,older adults,small,r,u,Cattell ,Blank,complex span,79.7,79.6,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella, et al. 2014 comp 2",comp 2 older,verbal working memory,follow up,1.1500,20,20,1,1.1272,0.3346,untreated,older adults,small,r,u,CWMS,Blank,complex span,79.7,79.6,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella, et al. 2014 comp 2",comp 2 older,verbal working memory,posttest,1.0800,20,20,1,1.0585,0.3318,untreated,older adults,small,r,u,CWMS,Blank,complex span,79.7,79.6,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella, et al. 2014 comp 2",comp 2 older,visual working memory,follow up,-0.2039,20,20,1,-0.1999,0.3107,untreated,older adults,small,r,u,backward Corsi span ,Blank,complex span,79.7,79.6,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
"Borella, et al. 2014 comp 2",comp 2 older,visual working memory,posttest,-0.2039,20,20,1,-0.1999,0.3107,untreated,older adults,small,r,u,backward Corsi span ,Blank,complex span,79.7,79.6,"Healthy Native Italian speakers. Live independently. Selected on the basis of a physical & psychological questionnaire. Exclusion criteria based on Crook et al (1986) and education/age cutoff in WAIS-R, CWMS",5 individual sessions. First & last sessions were pretest and posttest. Other 3 sessions were either training or (for control) were alternate activities. Each session lasted about 60 min. trainig was complete within 2 week time frame with a fixed 2-day break. Follow up (6th session) 8 months later,"Versions of the visuospatial WM task--matrix task. (adapted from Carretti et al., 2012; Cornoldi, Bassani, Berto, & Mammarella, 2007)",published,8m,Random assigned (once split into young-old group & old-old group). Pretest-Intervention-Posttest follow up 8 months later. Participants knew about both conditions.
